,borough,number_of_cyclist_injured,number_of_cyclist_killed,vehicle_type_code1,vehicle_type_code2,latitude,longitude
331,BROOKLYN,1,0,BICYCLE,,40.684803,-73.9707043
332,QUEENS,1,0,BICYCLE,,40.77082,-73.7976
333,QUEENS,1,0,BICYCLE,,40.600433,-73.76445
334,BRONX,1,0,,,40.8768785,-73.9033901
335,BRONX,1,0,PASSENGER VEHICLE,,40.8144179,-73.8501146
336,BRONX,1,0,UNKNOWN,,40.8172102,-73.884318
337,MANHATTAN,1,0,BICYCLE,,40.710888,-74.00907
338,QUEENS,1,0,BICYCLE,,40.77004,-73.90951
339,QUEENS,1,0,BICYCLE,,40.58205,-73.82188
340,MANHATTAN,1,0,VAN,,40.725432,-73.996771
341,MANHATTAN,1,0,BICYCLE,,,
342,QUEENS,1,0,BICYCLE,,40.762344,-73.93765
343,BRONX,1,0,BICYCLE,,40.82923,-73.87551
344,QUEENS,1,0,BICYCLE,,,
345,MANHATTAN,1,0,PICK-UP TRUCK,,40.7876856,-73.9750141
346,QUEENS,1,0,PASSENGER VEHICLE,,40.7279896,-73.7266816
347,MANHATTAN,1,0,BICYCLE,,40.725876,-73.97754
348,BRONX,1,0,BICYCLE,,40.8071867,-73.9242798
349,BROOKLYN,1,0,,,40.6767852,-73.9691792
350,QUEENS,1,0,BICYCLE,,40.762016,-73.89656
351,MANHATTAN,1,0,BICYCLE,,40.7278198,-73.9947504
352,MANHATTAN,1,0,BICYCLE,,40.7725492,-73.9672863
353,BRONX,1,0,BICYCLE,,40.82073,-73.91567
354,MANHATTAN,1,0,BICYCLE,,40.73068,-74.00062
355,BRONX,1,0,,,40.8285114,-73.8801104
356,MANHATTAN,1,0,BICYCLE,,40.795975,-73.97497
357,BRONX,1,0,PASSENGER VEHICLE,,40.8341869,-73.9095737
358,MANHATTAN,1,0,BICYCLE,,40.7378861,-73.9809038
359,MANHATTAN,1,0,BICYCLE,,40.7916347,-73.9625604
360,QUEENS,1,0,PASSENGER VEHICLE,,40.7163639,-73.7438967
361,BRONX,1,0,BICYCLE,,40.871387,-73.90441
362,QUEENS,1,0,BICYCLE,,40.586746,-73.81712
363,BROOKLYN,1,0,BICYCLE,,,
364,MANHATTAN,1,0,BICYCLE,,40.8185112,-73.9376454
365,BROOKLYN,1,0,BICYCLE,,40.7065,-73.92277
366,QUEENS,1,0,PASSENGER VEHICLE,,40.6766954,-73.7422032
367,MANHATTAN,1,0,BICYCLE,,40.70929,-74.00669
368,MANHATTAN,1,0,BICYCLE,,40.72235,-73.99327
369,BRONX,1,0,BICYCLE,,40.822712,-73.903145
370,BROOKLYN,1,0,BICYCLE,,40.658546,-73.99634
371,BRONX,1,0,BICYCLE,,40.882153,-73.896
372,BROOKLYN,1,0,BICYCLE,,40.6803036,-73.9679012
373,BRONX,1,0,BICYCLE,,40.8096442,-73.9103657
374,QUEENS,1,0,UNKNOWN,,40.6872384,-73.8275291
375,MANHATTAN,2,0,BICYCLE,,40.725876,-73.97754
376,BROOKLYN,1,0,SPORT UTILITY / STATION WAGON,,40.6631828,-73.9624487
377,BRONX,1,0,BICYCLE,,40.81172,-73.92813
378,BROOKLYN,1,0,BICYCLE,,40.629295,-74.02869
379,QUEENS,1,0,BICYCLE,,40.7321755,-73.8958495
380,MANHATTAN,1,0,BICYCLE,,40.799458,-73.95154
381,QUEENS,1,0,BICYCLE,,40.7619834,-73.8789523
382,BRONX,1,0,BICYCLE,,40.8795157,-73.9096784
383,MANHATTAN,1,0,,,40.818472,-73.941392
384,QUEENS,1,0,UNKNOWN,,40.7014601,-73.8041291
385,BROOKLYN,1,0,BICYCLE,,40.575924,-73.99114
386,QUEENS,1,0,,,40.7856002,-73.839357
387,MANHATTAN,1,0,BICYCLE,,,
388,QUEENS,1,0,PASSENGER VEHICLE,,40.7324716,-73.8616432
389,QUEENS,1,0,BICYCLE,,,
390,QUEENS,1,0,BICYCLE,,40.6529899,-73.7343409
391,BRONX,1,0,BICYCLE,,40.84352,-73.8655
392,MANHATTAN,1,0,PASSENGER VEHICLE,,40.8212629,-73.9460792
393,BRONX,1,0,BICYCLE,,40.8452223,-73.8661181
394,QUEENS,1,0,BICYCLE,,40.687668,-73.8117
395,BRONX,1,0,UNKNOWN,,40.8438234,-73.9165542
396,MANHATTAN,1,0,BICYCLE,,,
397,BROOKLYN,1,0,BICYCLE,,40.6775149,-73.9591238
398,STATEN ISLAND,1,0,BICYCLE,,40.637527,-74.1128
399,BRONX,1,0,BICYCLE,,,
400,BROOKLYN,1,0,PASSENGER VEHICLE,,40.6512655,-74.0039065
401,BROOKLYN,1,0,BICYCLE,,40.7151057,-73.9627766
